"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v471058","1.1.8","276","","","","0"
"2007/2008","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v471058","1.1.8","278","","","","0"
"2008/2009","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v471058","1.1.8","276","","","","0"
"2009/2010","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v471058","1.1.8","246","","","","0"
"2010/2011","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v471058","1.1.8","303","","","","0"
"2011/2012","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v471058","1.1.8","241","","","","0"
"2012/2013","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v471058","1.1.8","249","","","","0"
"2013/2014","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v471058","1.1.8","244","","","","0"
"2014/2015","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v471058","1.1.8","225","","","","0"
"2015/2016","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v471058","1.1.8","274","","","","0"
"2016/2017","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v471058","1.1.8","268","","","","0"
"2017/2018","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v471058","1.1.8","224","","","","0"
"2018/2019","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v471058","1.1.8","222","","","","0"
"2019/2020","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v471058","1.1.8","231","","","","0"
"2020/2021","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v471058","1.1.8","220","","","","0"
"2021/2022","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v471058","1.1.8","217","","","","0"
"2022/2023","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v471058","1.1.8","278","","","","0"
"2023/2024","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v471058","1.1.8","245","","","","0"
"2024/2025","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v471058","1.1.8","243","","","","0"
"2000/2001","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","154","","","","0"
"2001/2002","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","120","","","","0"
"2002/2003","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","142","","","","0"
"2003/2004","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","117","","","","0"
"2004/2005","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","123","","","","0"
"2005/2006","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","131","","","","0"
"2006/2007","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","97","","","","0"
"2007/2008","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","100","","","","0"
"2008/2009","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","126","","","","0"
"2009/2010","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","83","","","","0"
"2010/2011","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","82","","","","0"
"2011/2012","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","89","","","","0"
"2012/2013","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","95","","","","0"
"2013/2014","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","67","","","","0"
"2014/2015","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","95","","","","0"
"2015/2016","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","86","","","","0"
"2016/2017","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","77","","","","0"
"2017/2018","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","86","","","","0"
"2018/2019","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","95","","","","0"
"2019/2020","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","82","","","","0"
"2020/2021","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","83","","","","0"
"2021/2022","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","89","","","","0"
"2022/2023","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","118","","","","0"
"2023/2024","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","107","","","","0"
"2024/2025","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v470842","1.1.14","108","","","","0"
"2000/2001","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","225","","","","0"
"2001/2002","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","186","","","","0"
"2002/2003","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","234","","","","0"
"2003/2004","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","164","","","","0"
"2004/2005","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","216","","","","0"
"2005/2006","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","187","","","","0"
"2006/2007","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","186","","","","0"
"2007/2008","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","194","","","","0"
"2008/2009","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","169","","","","0"
"2009/2010","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","134","","","","0"
"2010/2011","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","149","","","","0"
"2011/2012","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","157","","","","0"
"2012/2013","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","114","","","","0"
"2013/2014","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","122","","","","0"
"2014/2015","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","139","","","","0"
"2015/2016","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","118","","","","0"
"2016/2017","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","140","","","","0"
"2017/2018","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","142","","","","0"
"2018/2019","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","129","","","","0"
"2019/2020","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","127","","","","0"
"2020/2021","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","152","","","","0"
"2021/2022","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","138","","","","0"
"2022/2023","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","160","","","","0"
"2023/2024","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","156","","","","0"
"2024/2025","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v470863","1.1.20","157","","","","0"
"2000/2001","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","718","","","","0"
"2001/2002","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","779","","","","0"
"2002/2003","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","766","","","","0"
"2003/2004","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","743","","","","0"
"2004/2005","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","759","","","","0"
"2005/2006","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","783","","","","0"
"2006/2007","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","714","","","","0"
"2007/2008","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","691","","","","0"
"2008/2009","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","685","","","","0"
"2009/2010","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","671","","","","0"
"2010/2011","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","607","","","","0"
"2011/2012","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","630","","","","0"
"2012/2013","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","537","","","","0"
"2013/2014","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","525","","","","0"
"2014/2015","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","543","","","","0"
"2015/2016","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","536","","","","0"
"2016/2017","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","507","","","","0"
"2017/2018","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","626","","","","0"
"2018/2019","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","520","","","","0"
"2019/2020","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","537","","","","0"
"2020/2021","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","537","","","","0"
"2021/2022","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","574","","","","0"
"2022/2023","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","608","","","","0"
"2023/2024","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","590","","","","0"
"2024/2025","Canada","2021A000011124","Men+","15 to 19 years","Persons","249","units","0","v470881","1.1.26","629","","","","0"
"2000/2001","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","926","","","","0"
"2001/2002","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","908","","","","0"
"2002/2003","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","921","","","","0"
"2003/2004","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","956","","","","0"
"2004/2005","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","985","","","","0"
"2005/2006","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","944","","","","0"
"2006/2007","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","917","","","","0"
"2007/2008","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","989","","","","0"
"2008/2009","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","918","","","","0"
"2009/2010","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","883","","","","0"
"2010/2011","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","900","","","","0"
"2011/2012","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","932","","","","0"
"2012/2013","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","877","","","","0"
"2013/2014","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","829","","","","0"
"2014/2015","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","884","","","","0"
"2015/2016","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","976","","","","0"
"2016/2017","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","1004","","","","0"
"2017/2018","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","1043","","","","0"
"2018/2019","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","1039","","","","0"
"2019/2020","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","1030","","","","0"
"2020/2021","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","1173","","","","0"
"2021/2022","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","1142","","","","0"
"2022/2023","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","1037","","","","0"
"2023/2024","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","1130","","","","0"
"2024/2025","Canada","2021A000011124","Men+","20 to 24 years","Persons","249","units","0","v470902","1.1.32","1150","","","","0"
"2000/2001","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","866","","","","0"
"2001/2002","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","887","","","","0"
"2002/2003","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","863","","","","0"
"2003/2004","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","838","","","","0"
"2004/2005","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","909","","","","0"
"2005/2006","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","923","","","","0"
"2006/2007","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","935","","","","0"
"2007/2008","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","915","","","","0"
"2008/2009","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","873","","","","0"
"2009/2010","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","909","","","","0"
"2010/2011","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","868","","","","0"
"2011/2012","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","971","","","","0"
"2012/2013","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","928","","","","0"
"2013/2014","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","965","","","","0"
"2014/2015","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","1006","","","","0"
"2015/2016","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","1139","","","","0"
"2016/2017","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","1256","","","","0"
"2017/2018","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","1351","","","","0"
"2018/2019","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","1366","","","","0"
"2019/2020","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","1365","","","","0"
"2020/2021","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","1726","","","","0"
"2021/2022","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","1625","","","","0"
"2022/2023","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","1705","","","","0"
