"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v466885","1.2.7","959942","","","","0"
"2024","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v466885","1.2.7","960076","","","","0"
"2025","Canada","2021A000011124","Men+","0 to 4 years","Persons","249","units","0","v466885","1.2.7","959179","","","","0"
"2000","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","1043712","","","","0"
"2001","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","1032251","","","","0"
"2002","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","1018580","","","","0"
"2003","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","996879","","","","0"
"2004","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","974869","","","","0"
"2005","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","954658","","","","0"
"2006","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","936675","","","","0"
"2007","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","925345","","","","0"
"2008","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","919928","","","","0"
"2009","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","920763","","","","0"
"2010","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","919928","","","","0"
"2011","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","927863","","","","0"
"2012","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","945251","","","","0"
"2013","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","966604","","","","0"
"2014","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","984900","","","","0"
"2015","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","1003089","","","","0"
"2016","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","1020675","","","","0"
"2017","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","1035142","","","","0"
"2018","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","1046840","","","","0"
"2019","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","1054120","","","","0"
"2020","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","1060975","","","","0"
"2021","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","1063628","","","","0"
"2022","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","1072823","","","","0"
"2023","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","1087376","","","","0"
"2024","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","1103423","","","","0"
"2025","Canada","2021A000011124","Men+","5 to 9 years","Persons","249","units","0","v466699","1.2.13","1095748","","","","0"
"2000","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v466717","1.2.19","1053098","","","","0"
"2001","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v466717","1.2.19","1065122","","","","0"
"2002","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v466717","1.2.19","1083259","","","","0"
